user_id,item_id,rating
68b70934570891ebac502084,68b98812612f0293c20db5cf,5
689f84b899fbf5076c5ec985,68b981c3612f0293c20db55f,2
68b71602570891ebac502242,68b9cf98bfa05e420780a1e0,2
689f84b899fbf5076c5ec985,68b981c3612f0293c20db565,1
68a989f2d3101920ef9dcdc9,68b98822612f0293c20db5d1,3
689f87a099fbf5076c5ec98c,68b9cf97bfa05e420780a1ce,2
68a1c4282dcd385eea223e67,68b98535612f0293c20db5a4,2
68b873c9c943d0109489951a,68b9ad1c9d6743e586455009,1
68b98efec02accb223b32cbf,68b97cee3364699be59a4a16,5
68b94594f7f0ff7d31298ae8,68b985aa612f0293c20db5ac,5
68b71602570891ebac502242,68b98807612f0293c20db5cd,5
68b873c9c943d0109489951a,68b99062c02accb223b32d28,3
68b70934570891ebac502084,68b9cf97bfa05e420780a1ce,2
68a989f2d3101920ef9dcdc9,68b9cf99bfa05e420780a1ea,1
68a4e27529c853d3c50a06b9,68b9ad1d9d6743e586455013,5
68a4e27529c853d3c50a06b9,68b97cef3364699be59a4a24,5
68a989b7d3101920ef9dcdc5,68b9cf96bfa05e420780a1c8,4
68b71602570891ebac502242,68b97cf03364699be59a4a2c,3
68a037f0368971a3a299acd8,68b981c3612f0293c20db561,2
68b94594f7f0ff7d31298ae8,68b9cf97bfa05e420780a1d6,5
68b71602570891ebac502242,68b97cf03364699be59a4a2e,3
68b71602570891ebac502242,68b9ad1c9d6743e586455007,1
68b8bf970f9799245af77682,68b985aa612f0293c20db5ac,5
68a989f2d3101920ef9dcdc9,68b9cf97bfa05e420780a1d6,3
68a1c4282dcd385eea223e67,68b99062c02accb223b32d28,4
689f84b899fbf5076c5ec985,68b9cf98bfa05e420780a1d8,3
68a989f2d3101920ef9dcdc9,68b9cf98bfa05e420780a1e0,3
68b71602570891ebac502242,68b97cef3364699be59a4a18,4
68b94594f7f0ff7d31298ae8,68b981c2612f0293c20db54d,3
68a037f0368971a3a299acd8,68b9cf99bfa05e420780a1e6,1
68a4e27529c853d3c50a06b9,68b97cef3364699be59a4a1c,1
68a1c4282dcd385eea223e67,68b97cee3364699be59a4a16,2
68a989f2d3101920ef9dcdc9,68b97cf03364699be59a4a2e,3
68a989b7d3101920ef9dcdc5,68b981c2612f0293c20db555,4
68a4e27529c853d3c50a06b9,68b9cfd3bfa05e420780a1f2,3
